1,something,サムスィング, 何か，あるもの, なにか，あるもの
1,also,オールソウ, もまた，さらに, もまた
1,all,オール, すべての，全部の, すべての，ぜんぶの
1,an,アンドゥ,1つの，1人の,1つの，1ひとの
1,and,アンド, ～と，そして, 〜と，そして
1,a,アンド,1つの，1人の,1つの，1ひとの
1,among,アマング, の間で, のあいだで
1,after,アフター, 後, のち
1,about,アバウトゥ, 近く，～について, 〜について，約
1,against,アゲンストゥ, ～に対して, 〜にたいして
1,again,アゲン, また，再び, また，ふたたび
1,want, ワントゥ, 欲しい，必要, ほしい
1,wonderful, ワンダフル, すばらしい, すばらしい
1,once, ワンス, 一度，かつて, いちど，かつて
1,one, ワン,1つ(の)，ある,1つ(の)，ある
1,was, ワズ, is amの過去形, is amのかこけい
1,wine, ワイン, ブドウ酒，ワイン, ブドウさけ，ワイン
1,wild, ワイルドゥ, 野蛮な，野生の, やばんな，やせいの
1,wife, ワイフ, 妻, つま
1,wide, ワイドゥ, 広い，十分に開いた, ひろい，じゅうぶんにひらいた
1,wise, ワイズ, 賢い，博識な, かしこい，はくしきな
1,world, ワールドゥ, 世界, せかい
1,word, ワードゥ, 言葉，語, ことば，ご
1,worst, ワーストゥ, 最悪の，最も悪い, さいあくの，もっともわるい
1,worked, ワークトゥ, workの過去・過去分詞形, workのかこ・かこぶんしけい
1,work, ワーク, (うまく)動く，働く, (うまく)うごく，はたらく
1,working, ワーキング, 働き，作業場, はたらき，さぎょうじょう
1,were, ワー, areの過去形, areのかこけい
1,long, ロング, 長い，長く, ながい，ながく
1,wrong, ロング, 故障して，具合が悪い, こしょうして，ぐあいがわるい
1,robot, ロボットゥ, ロボット, ロボット
1,rock, ロック, 岩，ロック, いわ，ロック
1,rocket, ロケットゥ, のろしを上げる，暴騰する, のろしをあげる，ぼうとうする
1,rope, ロウプ, 投げなわ，ロープ, なげなわ，ロープ
1,road, ロウドゥ, 道, みち
1,rose, ロウズ, バラ，淡赤色, バラ，たんあかいろ
1,low, ロウ, 安い，卑劣に, やすい，ひれつに
1,level, レベル, レベル，水準, レベル，すいじゅん
1,left, レフトゥ, 左の，左側, ひだりの，ひだりがわ
1,ready, レディー, 用意ができて, よういができて
1,red, レッドゥ, 赤い, あかい
1,let, レットゥ, させるあげる, させるあげる
1,lesson, レッスン, 授業，教訓, じゅぎょう，きょうくん
1,leg, レッグ, 足, あし
1,letter, レター, 手紙, てがみ
1,restaurant, レストラントゥ, レストラン, レストラン
1,receive, レシーブ, 受け取る, うけとる
1,rain, レイン, 雨が降る，雨, あめがふる，あめ
1,rainy, レイニー, 雨の，雨の多い, あめの，あめのおおい
1,late, レイトゥ, 遅れた，遅刻した, おくれた，ちこくした
1,radio, レイディオウ, ラジオ, ラジオ
1,lady, レイディー, 婦人，女性, ふじん，じょせい
1,later, レイター, lateの比較級，後に, lateのひかくきゅう，のちに
1,race, レイス, レース，競争, レース，きょうそう
1,lake, レイク, 湖, みずうみ
1,look, ルック, 見る，見える, みる，みえる
1,rule, ルール, 規則，ルール, きそく，ルール
1,room, ルーム, 部屋, へや
1,roof, ルーフ, てっぺん，屋上, てっぺん，おくじょう
1,lose, ルーズ, 失う, うしなう
1,ring, リング, 輪，指輪, わ，ゆびわ
1,remember, リメンバー, 思い出す，覚えている, おもいだす，おぼえている
1,live, リブ, 暮らす，暮らしている, くらす，くらしている
1,river, リバー, 川, かわ
1,little, リトゥル, 小さい，かわいい, ちいさい，かわいい
1,lip, リップ, 唇をあてる，穴のふちにあてる, くちびるをあてる，あなのふちにあてる
1,rich, リッチ, 豊かな，お金持ちの, ゆたかな，おかねもちの
1,return, リターン, 帰る，戻る, かえる，もどる
